Access Name,URL,imgURL,County,Type,Location,Access Type,Path to Beach,Managed by,Parking,Fee,Bathrooms,Handicap Access,Running Water,Showers,Camp Sites,Stairs to Beach,Boat Ramps,Tidepooling,Surfing,Hiking,Bicycling,Horseback Riding,Road Vehicle Access,Whale Watching
Pacific,?option=com_jumi&view=application&fileid=13&a=114&Itemid=109,/images/learn/access/P001933.gif,Clatsop,Pacific,Visual Access Only,beach,none,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Maple Street,?option=com_jumi&view=application&fileid=13&a=115&Itemid=109,/images/learn/access/P001921.gif,Clatsop,Maple Street,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Unnamed at Asbury Creek,?option=com_jumi&view=application&fileid=13&a=116&Itemid=109,/images/learn/access/P001920.gif,Clatsop,Unnamed at Asbury Creek,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sally's Alley,?option=com_jumi&view=application&fileid=13&a=117&Itemid=109,/images/learn/access/P001919.gif,Clatsop,Sally's Alley,Pedestrian Access,beach,unpaved,County,unpaved,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Marshall Ave,?option=com_jumi&view=application&fileid=13&a=118&Itemid=109,/images/learn/access/P001918.gif,Clatsop,Marshall Ave,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Ocean Road,?option=com_jumi&view=application&fileid=13&a=119&Itemid=109,/images/learn/access/P001917.gif,Clatsop,Ocean Road,Pedestrian Access,beach,unpaved,County,unpaved,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Markham Road,?option=com_jumi&view=application&fileid=13&a=120&Itemid=109,/images/learn/access/P001916.gif,Clatsop,Markham Road,Pedestrian Access,beach,unpaved,County,unpaved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Ocean View Ave,?option=com_jumi&view=application&fileid=13&a=121&Itemid=109,/images/learn/access/P001914.gif,Clatsop,Ocean View Ave,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Maxwell Ave,?option=com_jumi&view=application&fileid=13&a=122&Itemid=109,/images/learn/access/P001913.gif,Clatsop,Maxwell Ave,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Leech Ave,?option=com_jumi&view=application&fileid=13&a=123&Itemid=109,/images/learn/access/P001912.gif,Clatsop,Leech Ave,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Clatsop Street,?option=com_jumi&view=application&fileid=13&a=124&Itemid=109,/images/learn/access/.gif,Clatsop,Clatsop Street,Pedestrian Access,beach,none,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Richmond Street,?option=com_jumi&view=application&fileid=13&a=125&Itemid=109,/images/learn/access/P001900.gif,Clatsop,Richmond Street,Pedestrian Access,beach,none,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Columbia Street,?option=com_jumi&view=application&fileid=13&a=126&Itemid=109,/images/learn/access/P001895.gif,Clatsop,Columbia Street,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Del Moir Lane,?option=com_jumi&view=application&fileid=13&a=127&Itemid=109,/images/learn/access/P001898.gif,Tillamook,Del Moir Lane,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Oswald West State Park / Short Sands Beach (North),?option=com_jumi&view=application&fileid=13&a=128&Itemid=109,/images/learn/access/P001875.gif,Tillamook,Oswald West State Park / Short Sands Beach (North),Pedestrian Access,beach,unpaved,State Parks,paved,no,yes,no,yes,no,yes,no,no,yes,yes,yes,no,no,no,no
Oswald West State Park / Short Sands Beach (South),?option=com_jumi&view=application&fileid=13&a=129&Itemid=109,/images/learn/access/P001875.gif,Tillamook,Oswald West State Park / Short Sands Beach (South),Pedestrian Access,beach,unpaved,State Parks,paved,no,yes,no,yes,no,yes,no,no,yes,yes,yes,no,no,no,no
Oswald West State Park,?option=com_jumi&view=application&fileid=13&a=130&Itemid=109,/images/learn/access/P001876.gif,Tillamook,Oswald West State Park,Visual Access Only,beach,none,Dept. of Transportation,paved,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes
Oswald West State Park,?option=com_jumi&view=application&fileid=13&a=131&Itemid=109,/images/learn/access/P001877.gif,Tillamook,Oswald West State Park,Visual Access Only,beach,none,Dept. of Transportation,paved,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes
Oswald West State Park,?option=com_jumi&view=application&fileid=13&a=132&Itemid=109,/images/learn/access/P001880.gif,Tillamook,Oswald West State Park,Visual Access Only,beach,none,Dept. of Transportation,paved,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Oswald West State Park,?option=com_jumi&view=application&fileid=13&a=133&Itemid=109,/images/learn/access/P001882.gif,Tillamook,Oswald West State Park,Visual Access Only,beach,none,Dept. of Transportation,paved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Oswald West State Park,?option=com_jumi&view=application&fileid=13&a=134&Itemid=109,/images/learn/access/P001884.gif,Tillamook,Oswald West State Park,Visual Access Only,beach,none,Dept. of Transportation,paved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Oswald West State Park,?option=com_jumi&view=application&fileid=13&a=135&Itemid=109,/images/learn/access/P001886.gif,Tillamook,Oswald West State Park,Visual Access Only,beach,none,Dept. of Transportation,paved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Oswald West State Park,?option=com_jumi&view=application&fileid=13&a=136&Itemid=109,/images/learn/access/P001887.gif,Tillamook,Oswald West State Park,Visual Access Only,beach,none,Dept. of Transportation,paved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Oswald West State Park,?option=com_jumi&view=application&fileid=13&a=137&Itemid=109,/images/learn/access/P001888.gif,Tillamook,Oswald West State Park,Visual Access Only,beach,none,Dept. of Transportation,paved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Off Beulah Reed Road,?option=com_jumi&view=application&fileid=13&a=138&Itemid=109,/images/learn/access/P001892.gif,Tillamook,Off Beulah Reed Road,Pedestrian Access,beach,paved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Oswald West Wayside,?option=com_jumi&view=application&fileid=13&a=139&Itemid=109,/images/learn/access/P001872.gif,Tillamook,Oswald West Wayside,Visual Access Only,beach,none,Dept. of Transportation,unpaved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Section. 20 CC Tax Lot 2900,?option=com_jumi&view=application&fileid=13&a=140&Itemid=109,/images/learn/access/P001891.gif,Tillamook,Section. 20 CC Tax Lot 2900,Pedestrian Access,beach,unpaved,County,unpaved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Neahkahnie-Manzanita Wayside,?option=com_jumi&view=application&fileid=13&a=141&Itemid=109,/images/learn/access/P001890.gif,Tillamook,Neahkahnie-Manzanita Wayside,Pedestrian Access,beach,unpaved,Dept. of Transportation,unpaved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Ocean Road,?option=com_jumi&view=application&fileid=13&a=142&Itemid=109,/images/learn/access/P001889.gif,Tillamook,Ocean Road,Pedestrian Access,beach,unpaved,City,unpaved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Laneda Ave at Ocean Road,?option=com_jumi&view=application&fileid=13&a=143&Itemid=109,/images/learn/access/P001474.gif,Tillamook,Laneda Ave at Ocean Road,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Edmund Street at Beach Street,?option=com_jumi&view=application&fileid=13&a=144&Itemid=109,/images/learn/access/P001473.gif,Tillamook,Edmund Street at Beach Street,Pedestrian Access,beach,unpaved,City,unpaved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Treasure Cove at Beach Street,?option=com_jumi&view=application&fileid=13&a=145&Itemid=109,/images/learn/access/P001472.gif,Tillamook,Treasure Cove at Beach Street,Vehicle Access,beach,paved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Beeswax at Beach Street,?option=com_jumi&view=application&fileid=13&a=146&Itemid=109,/images/learn/access/P991471.gif,Tillamook,Beeswax at Beach Street,Pedestrian Access,beach,unpaved,City,unpaved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Pacific Lane,?option=com_jumi&view=application&fileid=13&a=147&Itemid=109,/images/learn/access/P001470.gif,Tillamook,Pacific Lane,Pedestrian Access,beach,paved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Off of Beach Street,?option=com_jumi&view=application&fileid=13&a=148&Itemid=109,/images/learn/access/P001469.gif,Tillamook,Off of Beach Street,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sunset Lane,?option=com_jumi&view=application&fileid=13&a=149&Itemid=109,/images/learn/access/P001468.gif,Tillamook,Sunset Lane,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Beach Drive,?option=com_jumi&view=application&fileid=13&a=150&Itemid=109,/images/learn/access/P001467.gif,Tillamook,Beach Drive,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
First Street,?option=com_jumi&view=application&fileid=13&a=151&Itemid=109,/images/learn/access/P001466.gif,Tillamook,First Street,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Second Street,?option=com_jumi&view=application&fileid=13&a=152&Itemid=109,/images/learn/access/P001465.gif,Tillamook,Second Street,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Fifth Street,?option=com_jumi&view=application&fileid=13&a=153&Itemid=109,/images/learn/access/P001462.gif,Tillamook,Fifth Street,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Third Street,?option=com_jumi&view=application&fileid=13&a=154&Itemid=109,/images/learn/access/P001464.gif,Tillamook,Third Street,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sixth Street,?option=com_jumi&view=application&fileid=13&a=155&Itemid=109,/images/learn/access/P001461.gif,Tillamook,Sixth Street,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Fourth Street,?option=com_jumi&view=application&fileid=13&a=156&Itemid=109,/images/learn/access/P001463.gif,Tillamook,Fourth Street,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Seventh Street,?option=com_jumi&view=application&fileid=13&a=157&Itemid=109,/images/learn/access/P001460.gif,Tillamook,Seventh Street,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Eighth Street,?option=com_jumi&view=application&fileid=13&a=158&Itemid=109,/images/learn/access/P001459.gif,Tillamook,Eighth Street,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Ninth Street,?option=com_jumi&view=application&fileid=13&a=159&Itemid=109,/images/learn/access/P001458.gif,Tillamook,Ninth Street,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Tenth Street,?option=com_jumi&view=application&fileid=13&a=160&Itemid=109,/images/learn/access/P001457.gif,Tillamook,Tenth Street,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Eleventh Street,?option=com_jumi&view=application&fileid=13&a=161&Itemid=109,/images/learn/access/P001456.gif,Tillamook,Eleventh Street,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Nehalem Bay State Park,?option=com_jumi&view=application&fileid=13&a=162&Itemid=109,/images/learn/access/P001455.gif,Tillamook,Nehalem Bay State Park,Pedestrian Access,beach,unpaved,State Parks,paved,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no
North End of Beach Drive,?option=com_jumi&view=application&fileid=13&a=163&Itemid=109,/images/learn/access/P001408.gif,Tillamook,North End of Beach Drive,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Park Street,?option=com_jumi&view=application&fileid=13&a=164&Itemid=109,/images/learn/access/P001409.gif,Tillamook,Park Street,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Riley Street,?option=com_jumi&view=application&fileid=13&a=165&Itemid=109,/images/learn/access/P001410.gif,Tillamook,Riley Street,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
West at Beach Drive,?option=com_jumi&view=application&fileid=13&a=166&Itemid=109,/images/learn/access/P001410.gif,Tillamook,West at Beach Drive,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Lark & Beach Drive,?option=com_jumi&view=application&fileid=13&a=167&Itemid=109,/images/learn/access/P001412.gif,Tillamook,Lark & Beach Drive,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Beach at Intersection,?option=com_jumi&view=application&fileid=13&a=168&Itemid=109,/images/learn/access/P001413.gif,Tillamook,Beach at Intersection,Pedestrian Access,beach,none,unknown,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
South end of Beach,?option=com_jumi&view=application&fileid=13&a=169&Itemid=109,/images/learn/access/P001414.gif,Tillamook,South end of Beach,Pedestrian Access,beach,none,unknown,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Manhatten Beach State Park,?option=com_jumi&view=application&fileid=13&a=170&Itemid=109,/images/learn/access/P001407.gif,Tillamook,Manhatten Beach State Park,Pedestrian Access,beach,unpaved,State Parks,paved,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
NW 23rd Street,?option=com_jumi&view=application&fileid=13&a=171&Itemid=109,/images/learn/access/P001415.gif,Tillamook,NW 23rd Street,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
NW 22nd Street,?option=com_jumi&view=application&fileid=13&a=172&Itemid=109,/images/learn/access/P001416.gif,Tillamook,NW 22nd Street,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
NW 21st Street,?option=com_jumi&view=application&fileid=13&a=173&Itemid=109,/images/learn/access/P001417.gif,Tillamook,NW 21st Street,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
NW 20th Street,?option=com_jumi&view=application&fileid=13&a=174&Itemid=109,/images/learn/access/P001418.gif,Tillamook,NW 20th Street,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
NW 19th Street,?option=com_jumi&view=application&fileid=13&a=175&Itemid=109,/images/learn/access/P001419.gif,Tillamook,NW 19th Street,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
NW 18th Street,?option=com_jumi&view=application&fileid=13&a=176&Itemid=109,/images/learn/access/P001420.gif,Tillamook,NW 18th Street,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
NW 17th Street,?option=com_jumi&view=application&fileid=13&a=177&Itemid=109,/images/learn/access/P001421.gif,Tillamook,NW 17th Street,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
NW 16th Street / Pacific,?option=com_jumi&view=application&fileid=13&a=178&Itemid=109,/images/learn/access/P001422.gif,Tillamook,NW 16th Street / Pacific,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
NW 15th Street / Pacific,?option=com_jumi&view=application&fileid=13&a=179&Itemid=109,/images/learn/access/P001423.gif,Tillamook,NW 15th Street / Pacific,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
NW 14th Street / Pacific,?option=com_jumi&view=application&fileid=13&a=180&Itemid=109,/images/learn/access/P001424.gif,Tillamook,NW 14th Street / Pacific,Pedestrian Access,beach,none,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
NW 13th Street / Pacific,?option=com_jumi&view=application&fileid=13&a=181&Itemid=109,/images/learn/access/P001425.gif,Tillamook,NW 13th Street / Pacific,Pedestrian Access,beach,none,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
NW 12th Street / Pacific,?option=com_jumi&view=application&fileid=13&a=182&Itemid=109,/images/learn/access/P001426.gif,Tillamook,NW 12th Street / Pacific,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
NW 10th Street,?option=com_jumi&view=application&fileid=13&a=183&Itemid=109,/images/learn/access/P001427.gif,Tillamook,NW 10th Street,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
NW 9th Street,?option=com_jumi&view=application&fileid=13&a=184&Itemid=109,/images/learn/access/P001428.gif,Tillamook,NW 9th Street,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
NW 8th Street,?option=com_jumi&view=application&fileid=13&a=185&Itemid=109,/images/learn/access/P001429.gif,Tillamook,NW 8th Street,Pedestrian Access,beach,none,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
NW 7th Ave,?option=com_jumi&view=application&fileid=13&a=186&Itemid=109,/images/learn/access/P001430.gif,Tillamook,NW 7th Ave,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
NW 6th Street,?option=com_jumi&view=application&fileid=13&a=187&Itemid=109,/images/learn/access/P001431.gif,Tillamook,NW 6th Street,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
North 5th Street,?option=com_jumi&view=application&fileid=13&a=188&Itemid=109,/images/learn/access/P001432.gif,Tillamook,North 5th Street,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
North 4th Street,?option=com_jumi&view=application&fileid=13&a=189&Itemid=109,/images/learn/access/P001433.gif,Tillamook,North 4th Street,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
North 3rd Street,?option=com_jumi&view=application&fileid=13&a=190&Itemid=109,/images/learn/access/P001434.gif,Tillamook,North 3rd Street,Pedestrian Access,beach,none,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Nehalem,?option=com_jumi&view=application&fileid=13&a=191&Itemid=109,/images/learn/access/P001437.gif,Tillamook,Nehalem,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Rockaway Beach,?option=com_jumi&view=application&fileid=13&a=192&Itemid=109,/images/learn/access/P001435.gif,Tillamook,Rockaway Beach,Pedestrian Access,beach,unpaved,City,paved,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
South 1st Ave,?option=com_jumi&view=application&fileid=13&a=193&Itemid=109,/images/learn/access/P001436.gif,Tillamook,South 1st Ave,Vehicle Access,beach,none,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
South 2nd Ave,?option=com_jumi&view=application&fileid=13&a=194&Itemid=109,/images/learn/access/P001438.gif,Tillamook,South 2nd Ave,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
South 3rd Street,?option=com_jumi&view=application&fileid=13&a=195&Itemid=109,/images/learn/access/P001439.gif,Tillamook,South 3rd Street,Vehicle Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
South 4th Ave,?option=com_jumi&view=application&fileid=13&a=196&Itemid=109,/images/learn/access/P001440.gif,Tillamook,South 4th Ave,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
South 5th Ave,?option=com_jumi&view=application&fileid=13&a=197&Itemid=109,/images/learn/access/P001442.gif,Tillamook,South 5th Ave,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
South 6th Street,?option=com_jumi&view=application&fileid=13&a=198&Itemid=109,/images/learn/access/P001441.gif,Tillamook,South 6th Street,Vehicle Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
South 7th Street,?option=com_jumi&view=application&fileid=13&a=199&Itemid=109,/images/learn/access/P001443.gif,Tillamook,South 7th Street,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
South 8th Street,?option=com_jumi&view=application&fileid=13&a=200&Itemid=109,/images/learn/access/P001444.gif,Tillamook,South 8th Street,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Alder Street,?option=com_jumi&view=application&fileid=13&a=201&Itemid=109,/images/learn/access/P001445.gif,Tillamook,Alder Street,Pedestrian Access,beach,paved,City,paved,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Washington,?option=com_jumi&view=application&fileid=13&a=202&Itemid=109,/images/learn/access/P001446.gif,Tillamook,Washington,Pedestrian Access,beach,none,unknown,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Stark,?option=com_jumi&view=application&fileid=13&a=203&Itemid=109,/images/learn/access/P001447.gif,Tillamook,Stark,Visual Access Only,beach,none,unknown,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Minnehana,?option=com_jumi&view=application&fileid=13&a=204&Itemid=109,/images/learn/access/P001448.gif,Tillamook,Minnehana,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Marigold,?option=com_jumi&view=application&fileid=13&a=205&Itemid=109,/images/learn/access/P001449.gif,Tillamook,Marigold,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Pansy Street,?option=com_jumi&view=application&fileid=13&a=206&Itemid=109,/images/learn/access/P001450.gif,Tillamook,Pansy Street,Vehicle Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Pacific Street, North End",?option=com_jumi&view=application&fileid=13&a=207&Itemid=109,/images/learn/access/P001451.gif,Tillamook,"Pacific Street, North End",Pedestrian Access,beach,unpaved,County,unpaved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Shand Ave,?option=com_jumi&view=application&fileid=13&a=208&Itemid=109,/images/learn/access/P001452.gif,Tillamook,Shand Ave,Pedestrian Access,beach,unpaved,County,unpaved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Barview Jetty Park,?option=com_jumi&view=application&fileid=13&a=209&Itemid=109,/images/learn/access/P001454.gif,Tillamook,Barview Jetty Park,Pedestrian Access,beach,none,County,paved,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
Bay Ocean Spit,?option=com_jumi&view=application&fileid=13&a=210&Itemid=109,/images/learn/access/P001907.gif,Tillamook,Bay Ocean Spit,Pedestrian Access,beach,unpaved,County,unpaved,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Bay Ocean Spit,?option=com_jumi&view=application&fileid=13&a=211&Itemid=109,/images/learn/access/P001908.gif,Tillamook,Bay Ocean Spit,Pedestrian Access,beach,unpaved,County,unpaved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Bay Ocean-Oceanside Road,?option=com_jumi&view=application&fileid=13&a=212&Itemid=109,/images/learn/access/P001906.gif,Tillamook,Bay Ocean-Oceanside Road,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Second Street,?option=com_jumi&view=application&fileid=13&a=213&Itemid=109,/images/learn/access/P001902.gif,Tillamook,Second Street,Pedestrian Access,beach,none,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Pacific Ave,?option=com_jumi&view=application&fileid=13&a=214&Itemid=109,/images/learn/access/P001901.gif,Tillamook,Pacific Ave,Pedestrian Access,beach,none,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Diamond Ave,?option=com_jumi&view=application&fileid=13&a=215&Itemid=109,/images/learn/access/P001903.gif,Tillamook,Diamond Ave,Visual Access Only,beach,none,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Mertel,?option=com_jumi&view=application&fileid=13&a=216&Itemid=109,/images/learn/access/P001904.gif,Tillamook,Mertel,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Cape Mears State Park,?option=com_jumi&view=application&fileid=13&a=217&Itemid=109,/images/learn/access/P001870.gif,Tillamook,Cape Mears State Park,Visual Access Only,beach,paved,State Parks,paved,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,yes
Bay Ocean-Oceanside Road,?option=com_jumi&view=application&fileid=13&a=218&Itemid=109,/images/learn/access/P001871.gif,Tillamook,Bay Ocean-Oceanside Road,Visual Access Only,beach,none,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Bay Ocean-Oceanside Road,?option=com_jumi&view=application&fileid=13&a=219&Itemid=109,/images/learn/access/P001869.gif,Tillamook,Bay Ocean-Oceanside Road,Pedestrian Access,beach,unpaved,County,unpaved,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
Maxwell Mountain Road,?option=com_jumi&view=application&fileid=13&a=220&Itemid=109,/images/learn/access/P001867.gif,Tillamook,Maxwell Mountain Road,Visual Access Only,beach,none,County,unpaved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Oceanside Beach State Park,?option=com_jumi&view=application&fileid=13&a=221&Itemid=109,/images/learn/access/P001866.gif,Tillamook,Oceanside Beach State Park,Pedestrian Access,beach,unpaved,State Parks,paved,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
Symon Scenic Wayside,?option=com_jumi&view=application&fileid=13&a=222&Itemid=109,/images/learn/access/.gif,Tillamook,Symon Scenic Wayside,Pedestrian Access,beach,none,unknown,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Cape Lookout State Park / Spit,?option=com_jumi&view=application&fileid=13&a=223&Itemid=109,/images/learn/access/.gif,Tillamook,Cape Lookout State Park / Spit,Pedestrian Access,beach,unpaved,State Parks,paved,yes,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no
Cape Lookout State Park / Day Use,?option=com_jumi&view=application&fileid=13&a=224&Itemid=109,/images/learn/access/P001707.gif,Tillamook,Cape Lookout State Park / Day Use,Pedestrian Access,beach,unpaved,State Parks,paved,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,yes
Anderson Viewpoint,?option=com_jumi&view=application&fileid=13&a=225&Itemid=109,/images/learn/access/P001706.gif,Tillamook,Anderson Viewpoint,Visual Access Only,beach,none,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Cape Lookout State Park / Cape,?option=com_jumi&view=application&fileid=13&a=226&Itemid=109,/images/learn/access/P001706.gif,Tillamook,Cape Lookout State Park / Cape,Visual Access Only,beach,unpaved,State Parks,paved,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes
